datetime,ra,dec,ra_cderr⁻,ra_cderr⁺,dec_err⁻,dec_err⁺
2009-08-13T16:48:00.0,0.5150466622635267,0.021467549799530253,0.0066307229609133345,0.006979708379908773,0.003839724354387525,0.003141592653589793
2009-11-06T03:07:12.0,5.20474636237229,0.20490165418413428,0.009740266641063899,0.009056739157480469,0.0066322511575784525,0.005585053606381855
2010-06-23T17:45:36.0,2.4652775684419903,0.8342673824532895,0.005275681171705282,0.00539291853107651,0.008377580409572781,0.009773843811168246
2010-09-25T21:36:00.0,4.6476372651357005,0.23387411976724015,0.010526448014414665,0.009847322336065332,0.007853981633974483,0.009075712110370514
2010-10-09T09:08:02.112,5.778610620428025,0.19373154697137057,0.012331287296878378,0.009591001230905406,0.010122909661567111,0.008377580409572781
2010-10-28T07:16:46.848,1.5477579806685715,0.008028514559173916,0.009599001516018774,0.009424474215727521,0.00471238898038469,0.005759586531581287
2010-11-13T14:24:00.0,4.990768996077785,0.05497787143782138,0.02614038344366761,0.022480729761554144,0.010995574287564275,0.012217304763960306
2011-01-28T13:30:24.192,5.367411048658161,0.02076941809873252,0.014134117884900467,0.0143086131674301,0.005585053606381855,0.006108652381980153
2011-03-04T22:54:57.312,2.0310396505458015,-0.18709929581379214,0.01251854835842531,0.01251854835842531,0.011344640137963142,0.009948376736367677
2011-05-21T18:28:48.0,4.103792670214267,0.3543018381548489,0.02880987987151898,0.044196974802898435,0.010821041362364843,0.00767944870877505
2011-06-10T10:19:12.0,4.751135289778964,0.6204645490839841,0.01689817405634335,0.017466179906976742,0.005061454830783556,0.004886921905584123
2011-07-14T02:42:41.472,1.184380430403352,0.7037167544041136,0.009581135165512478,0.006786637408904672,0.004363323129985824,0.012740903539558606
2011-09-30T10:41:00.096,4.6509533907144895,-0.07696902001294993,0.02697251003568737,0.036369384499733294,0.015009831567151233,0.010297442586766544
2012-03-01T19:21:57.024,4.154058152671704,0.3246312408709453,0.009759590787624723,0.00992500758063531,0.006806784082777886,0.008028514559173916
2012-05-15T23:02:24.0,3.4686673554135306,0.5578072289373878,0.0161403764224767,0.021323066099418756,0.010122909661567111,0.014137166941154071
